file,status,time_taken,max_memory_mb,timed_out,last_err_line,problem_name,verified,theorem_size
AndOrXor_2587_values_0.bwlang,SUCCESS,0.03,7.3671875,False,[2026-04-15T14:52:14Z INFO  parabit] Reducing size,AndOrXor_2587_values_0,True,65
AndOrXor_2052_values_0.bwlang,SUCCESS,0.01,4.5,False,[2026-04-15T14:52:14Z INFO  parabit] Reducing size,AndOrXor_2052_values_0,True,38
AndOrXor_2118_values_0.bwlang,SUCCESS,0.03,7.33984375,False,[2026-04-15T14:52:14Z INFO  parabit] Reducing size,AndOrXor_2118_values_0,True,62
AndOrXor_2123_values_0.bwlang,SUCCESS,0.04,7.7109375,False,[2026-04-15T14:52:14Z INFO  parabit] Reducing size,AndOrXor_2123_values_0,True,75
AndOrXor_2429_values_0.bwlang,SUCCESS,0.0,4.25,False,[2026-04-15T14:52:14Z INFO  parabit] Reducing size,AndOrXor_2429_values_0,True,26
AddSub_1176_values_0.bwlang,SUCCESS,0.01,4.25,False,[2026-04-15T14:52:14Z INFO  parabit] Reducing size,AddSub_1176_values_0,True,19
AddSub_1619_values_0.bwlang,SUCCESS,0.03,7.75,False,[2026-04-15T14:52:14Z INFO  parabit] Reducing size,AddSub_1619_values_0,True,50
AndOrXor_2188_values_0.bwlang,SUCCESS,0.04,7.85546875,False,[2026-04-15T14:52:15Z INFO  parabit] Reducing size,AndOrXor_2188_values_0,True,83
Select_1105_values_0.bwlang,SUCCESS,0.0,4.125,False,[2026-04-15T14:52:15Z INFO  parabit] Reducing size,Select_1105_values_0,True,10
AndOrXor_2367_values_0.bwlang,SUCCESS,0.0,4.25,False,[2026-04-15T14:52:15Z INFO  parabit] Reducing size,AndOrXor_2367_values_0,True,21
AddSub_1614_values_0.bwlang,SUCCESS,0.36,53.9375,False,[2026-04-15T14:52:15Z INFO  parabit] Reducing size,AddSub_1614_values_0,True,48
AddSub_1574_values_0.bwlang,SUCCESS,0.01,4.625,False,[2026-04-15T14:52:15Z INFO  parabit] Reducing size,AddSub_1574_values_0,True,22
AddSub_1202_values_0.bwlang,SUCCESS,0.02,6.75,False,[2026-04-15T14:52:15Z INFO  parabit] Reducing size,AddSub_1202_values_0,True,32
AndOrXor_1253_values_0.bwlang,SUCCESS,0.15,16.63671875,False,[2026-04-15T14:52:15Z INFO  parabit] Reducing size,AndOrXor_1253_values_0,True,329
AndOrXor_2243_values_0.bwlang,SUCCESS,0.01,4.875,False,[2026-04-15T14:52:16Z INFO  parabit] Reducing size,AndOrXor_2243_values_0,True,60
AndOrXor_2658_values_0.bwlang,SUCCESS,0.05,9.69140625,False,[2026-04-15T14:52:16Z INFO  parabit] Reducing size,AndOrXor_2658_values_0,True,119
AndOrXor_2486_values_0.bwlang,SUCCESS,0.02,6.125,False,[2026-04-15T14:52:16Z INFO  parabit] Reducing size,AndOrXor_2486_values_0,True,34
AndOrXor_2063_values_0.bwlang,SUCCESS,0.11,14.83203125,False,[2026-04-15T14:52:16Z INFO  parabit] Reducing size,AndOrXor_2063_values_0,True,167
AndOrXor_135_values_0.bwlang,SUCCESS,0.13,9.87890625,False,[2026-04-15T14:52:16Z INFO  parabit] Reducing size,AndOrXor_135_values_0,True,301
muldivrem_239_values_0.bwlang,SUCCESS,10.76,1020.64453125,False,[2026-04-15T14:52:24Z INFO  parabit] Reducing size,muldivrem_239_values_0,True,69
