file,status,time_taken,max_memory_mb,timed_out,exit_reason,last_err_line,problem_name,verified,theorem_size
unsigned_rounding_v1_to_v2.bwlang,SUCCESS,0.58,96.48828125,False,,[2026-04-27T22:26:37Z INFO  parabit] Reducing size,unsigned_rounding_v1_to_v2,True,72
unsigned_rounding_v0_to_v2.bwlang,SUCCESS,0.65,94.85546875,False,,[2026-04-27T22:26:37Z INFO  parabit] Reducing size,unsigned_rounding_v0_to_v2,True,532
equation_abc.bwlang,SUCCESS,0.73,137.1484375,False,,[2026-04-27T22:26:38Z INFO  parabit] Reducing size,equation_abc,True,38
abs_diff_shared_sub.bwlang,SUCCESS,0.73,119.01953125,False,,[2026-04-27T22:26:39Z INFO  parabit] Reducing size,abs_diff_shared_sub,True,53
abs_diff_shared_sub_signed.bwlang,FAILED,85.79,6803.37890625,False,memory,Command terminated by signal 6,abs_diff_shared_sub_signed,,
