file,status,time_taken,max_memory_mb,timed_out,last_err_line,problem_name,verified,theorem_size
opt_2889.bwlang,SUCCESS,0.000711848,4.43359375,False,"[2026-04-20T10:51:10Z INFO  parabit] Iteration 2: 104 nodes, 49 classes",hydra_opt_2889,,
opt_2895.bwlang,SUCCESS,0.000431222,4.43359375,False,"[2026-04-20T10:51:10Z INFO  parabit] Iteration 1: 29 nodes, 17 classes",hydra_opt_2895,,
opt_293.bwlang,SUCCESS,0.00136275,5.28125,False,"[2026-04-20T10:51:11Z INFO  parabit] Iteration 3: 361 nodes, 145 classes",hydra_opt_293,,
opt_30.bwlang,SUCCESS,0.001822648,5.33203125,False,"[2026-04-20T10:51:11Z INFO  parabit] Iteration 4: 503 nodes, 110 classes",hydra_opt_30,,
opt_2791.bwlang,FAILED,60,7133.30859375,False,Command exited with non-zero status 124,hydra_opt_2791,,
opt_36.bwlang,SUCCESS,0.001885445,4.98046875,False,"[2026-04-20T10:51:26Z INFO  parabit] Iteration 3: 349 nodes, 140 classes",hydra_opt_36,,
opt_37.bwlang,SUCCESS,0.000797119,4.57421875,False,"[2026-04-20T10:51:26Z INFO  parabit] Iteration 3: 99 nodes, 26 classes",hydra_opt_37,,
opt_386.bwlang,SUCCESS,0.000651301,4.6171875,False,"[2026-04-20T10:51:26Z INFO  parabit] Iteration 2: 69 nodes, 34 classes",hydra_opt_386,,
opt_391.bwlang,SUCCESS,0.017905419,9.5,False,"[2026-04-20T10:51:27Z INFO  parabit] Iteration 8: 4160 nodes, 1091 classes",hydra_opt_391,,
opt_392.bwlang,SUCCESS,0.000699848,4.328125,False,"[2026-04-20T10:51:28Z INFO  parabit] Iteration 3: 41 nodes, 14 classes",hydra_opt_392,,
opt_54.bwlang,SUCCESS,0.005997457,6.7265625,False,"[2026-04-20T10:51:28Z INFO  parabit] Iteration 4: 1654 nodes, 624 classes",hydra_opt_54,,
opt_57.bwlang,SUCCESS,0.016382559,12.56640625,False,"[2026-04-20T10:51:30Z INFO  parabit] Iteration 7: 4057 nodes, 1168 classes",hydra_opt_57,,
opt_625.bwlang,SUCCESS,0.000493224,4.6171875,False,"[2026-04-20T10:51:30Z INFO  parabit] Iteration 2: 37 nodes, 13 classes",hydra_opt_625,,
opt_64.bwlang,SUCCESS,0.001897266,5.10546875,False,"[2026-04-20T10:51:30Z INFO  parabit] Iteration 3: 394 nodes, 112 classes",hydra_opt_64,,
opt_724.bwlang,FAILED,0.01,8.265625,False,Command exited with non-zero status 1,hydra_opt_724,,
opt_310.bwlang,FAILED,28.23,7201.953125,False,Command terminated by signal 6,hydra_opt_310,,
opt_781.bwlang,FAILED,31.26,6933.77734375,False,Command terminated by signal 6,hydra_opt_781,,
opt_862.bwlang,FAILED,25.78,6885.828125,False,Command terminated by signal 6,hydra_opt_862,,
