file,status,time_taken,max_memory_mb,timed_out,last_err_line,problem_name,verified,theorem_size
abs_diff_shared_sub.bwlang,SUCCESS,0.143742389,74.3125,False,"[2026-04-20T10:52:06Z INFO  parabit] Iteration 7: 13918 nodes, 5509 classes",abs_diff_shared_sub,,
equation_abc.bwlang,SUCCESS,0.150335843,78.8203125,False,"[2026-04-20T10:52:06Z INFO  parabit] Iteration 5: 17015 nodes, 7022 classes",equation_abc,,
unsigned_rounding_v0_to_v2.bwlang,SUCCESS,0.135560083,57.1875,False,"[2026-04-20T10:52:07Z INFO  parabit] Iteration 7: 14522 nodes, 3588 classes",unsigned_rounding_v0_to_v2,,
unsigned_rounding_v1_to_v2.bwlang,SUCCESS,0.13526974,57.59765625,False,"[2026-04-20T10:52:08Z INFO  parabit] Iteration 7: 14812 nodes, 3651 classes",unsigned_rounding_v1_to_v2,,
abs_diff_shared_sub_signed.bwlang,FAILED,60,6802.7734375,False,Command exited with non-zero status 124,abs_diff_shared_sub_signed,,
